level,datetime
DEBUG,2015-2-22 18:42:39
FATAL,2012-11-6 18:52:41
INFO,2017-5-26 12:29:39
DEBUG,2017-12-22 04:21:45
INFO,2016-8-25 14:13:19
FATAL,2013-11-15 15:59:10
WARN,2015-4-28 15:24:14
DEBUG,2016-9-16 11:00:27
INFO,2015-1-13 10:57:46
DEBUG,2013-4-15 22:01:53
DEBUG,2014-4-22 04:06:22
DEBUG,2017-2-14 14:36:49
DEBUG,2017-2-13 14:24:13
INFO,2014-9-18 07:41:06
DEBUG,2017-8-24 21:32:28
INFO,2013-4-23 15:04:03
DEBUG,2013-9-28 10:45:43
WARN,2015-9-25 07:18:55
INFO,2017-5-16 06:42:32
WARN,2015-12-16 16:21:03
DEBUG,2013-5-9 14:25:26
DEBUG,2012-1-4 01:17:40
INFO,2013-12-2 02:11:10
DEBUG,2016-3-22 18:44:34
WARN,2016-6-18 04:52:26
DEBUG,2012-4-3 14:52:16
DEBUG,2017-4-9 11:52:52
INFO,2013-6-22 11:55:03
INFO,2015-8-23 07:04:41
DEBUG,2017-11-14 00:07:50
WARN,2012-5-28 18:12:31
DEBUG,2014-5-23 21:05:40
DEBUG,2014-7-26 18:14:26
DEBUG,2016-2-18 17:17:10
INFO,2015-10-19 07:11:11
ERROR,2014-3-10 17:00:48
INFO,2016-2-4 00:21:51
INFO,2015-11-16 16:12:57
DEBUG,2013-9-8 17:10:22
DEBUG,2015-9-25 08:32:31
INFO,2012-7-7 05:42:42
INFO,2015-3-1 11:57:38
WARN,2017-2-9 02:10:11
DEBUG,2016-6-12 11:17:14
INFO,2016-6-1 05:40:30
INFO,2012-2-14 14:29:28
INFO,2014-8-12 10:18:59
DEBUG,2017-9-12 14:36:37
INFO,2015-1-18 05:13:52
WARN,2014-5-22 07:03:28
DEBUG,2017-8-27 14:28:08
INFO,2012-6-14 02:30:28
DEBUG,2015-2-9 14:54:27
DEBUG,2012-1-27 16:58:17
INFO,2013-3-28 10:55:30
FATAL,2015-11-1 18:01:37
INFO,2017-4-24 05:27:11
FATAL,2016-11-3 11:47:31
INFO,2016-3-14 23:28:22
DEBUG,2016-9-10 15:59:14
DEBUG,2012-10-8 22:23:24
ERROR,2014-3-12 22:52:11
INFO,2013-4-24 19:41:58
INFO,2017-10-11 22:31:10
WARN,2013-10-12 20:42:06
DEBUG,2017-10-20 07:54:34
DEBUG,2015-3-28 21:33:02
WARN,2012-2-15 22:40:39
